Td	ID	  	Tj	Df	Dd	Db
847	2873	639	0	208	208
848	2812	581	45	222	267
853	873		630	199	24	223
855	2776	572	13	270	283
855	2866	635	0	220	220
859	853		623	0	236	236
860	2908	661	8	191	199
863	2716	540	59	264	323
864	2754	565	4	295	299
864	2848	614	0	250	250
866	2849	614	0	252	252
871	639		475	18	378	396
875	2863	635	0	240	240
875	511		390	5	480	485
878	2746	563	14	301	315
878	2845	608	0	270	270
879	647		476	18	385	403
884	850		623	236	25	261
888	2838	605	2	281	283
890	2842	608	0	282	282
891	2584	434	8	449	457
892	2831	596	0	296	296
893	2702	535	30	328	358
893	2796	576	4	313	317
894	2829	596	0	298	298
895	2732	548	5	342	347
899	2681	517	5	377	382
903	2839	605	20	278	298
906	305		242	136	528	664
909	2808	579	18	312	330
909	848		623	261	25	286
910	2797	576	0	334	334
912	2670	501	30	381	411
913	2805	579	0	334	334
918	2734	548	1	369	370
920	2939	685	22	213	235
920	450		339	44	537	581
921	835		602	20	299	319
922	2633	477	5	440	445
924	2735	561	5	358	363
925	2990	701	90	134	224
926	2627	475	43	408	451
929	2619	462	16	451	467
938	2886	649	4	285	289
938	2798	578	0	360	360
939	2000	3	3	933	936
940	832		600	0	340	340
945	2794	576	0	369	369
946	823		595	0	351	351
947	749		536	5	406	411
949	2929	682	19	248	267
952	2998	702	1	249	250
953	707		506	8	439	447
958	703		506	7	445	452
961	777		566	35	360	395
966	821		595	351	20	371
969	763		560	0	409	409
970	2955	689	15	266	281
971	2927	682	10	279	289
974	2854	633	1	340	341
975	2931	683	2	290	292
976	2789	575	0	401	401
978	2718	540	0	438	438
978	765		563	37	378	415
981	2784	575	0	406	406
983	2960	690	10	283	293
983	772		566	34	383	417
984	2971	691	16	277	293
985	761		560	409	16	425
986	2958	689	8	289	297
986	2884	649	44	293	337
988	2982	699	34	255	289
988	2761	567	0	421	421
988	926		662	49	277	326
989	2999	702	20	267	287
990	2952	689	32	269	301
991	2860	633	21	337	358
992	2978	697	34	261	295
992	927		662	49	281	330
993	2997	702	26	265	291
993	2792	576	40	377	417
993	2974	697	21	275	296
999	758		560	426	13	439
1010	892		641	69	300	369
1011	2781	574	0	437	437
1012	664		478	0	534	534
1014	923		658	52	304	356
1016	995		705	8	303	311
1018	2719	540	0	478	478
1033	2714	540	472	21	493
1035	2713	538	0	497	497
1035	662		478	535	22	557
1044	2710	538	485	21	506
1046	2703	535	0	511	511
1047	656		477	0	570	570
1049	2711	538	0	511	511
1057	2706	535	0	522	522
1058	2686	526	0	532	532
1058	2668	501	0	557	557
1060	2696	533	0	527	527
1062	649		476	0	586	586
1067	2692	526	0	541	541
1068	2657	496	0	572	572
1082	2680	517	0	565	565
1085	2672	514	0	571	571
1089	635		474	0	615	615
1093	2645	489	0	604	604
1099	2435	345	0	754	754
1099	2641	484	0	615	615
1105	2635	477	0	628	628
1105	623		470	0	635	635
1115	2412	323	0	792	792
1115	2408	323	0	792	792
1119	621		470	636	13	649
1122	2430	344	0	778	778
1126	2310	227	0	899	899
1128	2361	261	0	867	867
