Td	ID	  	Tj	Df	Dd	Db
160	270		154	0	6	6
161	258		149	0	12	12
162	2250	125	4	33	37
164	280		161	0	3	3
164	278		161	0	3	3
165	2269	134	0	31	31
165	2271	142	6	17	23
167	283		164	0	3	3
170	67		47	3	120	123
170	85		56	5	109	114
171	70		47	4	120	124
173	2067	32	6	135	141
173	2261	132	2	39	41
174	2233	121	0	53	53
174	2258	131	1	42	43
175	94		63	6	106	112
176	2274	142	4	30	34
176	2252	125	1	50	51
176	43		25	3	148	151
176	292		173	0	3	3
177	72		49	4	124	128
177	74		49	5	123	128
179	2285	161	0	18	18
179	107		72	8	99	107
179	298		177	0	2	2
180	2049	23	4	153	157
181	2043	20	5	156	161
183	2272	142	10	31	41
184	2091	52	7	125	132
184	2092	52	7	125	132
187	2246	124	5	58	63
188	2280	157	0	31	31
188	319		185	0	3	3
189	2064	31	7	151	158
189	2290	163	10	16	26
190	2302	166	8	16	24
190	2257	131	5	54	59
190	2303	166	0	24	24
191	2308	168	5	18	23
191	2291	163	0	28	28
191	2294	163	12	16	28
191	2281	157	1	33	34
191	2305	168	17	6	23
191	87		61	5	125	130
192	323		186	0	6	6
193	89		61	5	127	132
193	316		185	5	3	8
193	306		183	1	9	10
194	2301	166	8	20	28
194	335		189	0	5	5
194	309		183	0	11	11
196	317		185	0	11	11
196	79		52	5	139	144
197	2318	179	4	14	18
197	339		191	2	4	6
198	2068	32	7	159	166
198	2310	176	1	21	22
198	123		78	7	113	120
198	121		78	7	113	120
198	105		69	9	120	129
199	92		63	6	130	136
199	91		63	6	130	136
201	357		197	0	4	4
203	2335	188	1	14	15
203	2306	168	17	18	35
203	330		187	9	7	16
204	2343	191	0	13	13
205	2087	48	8	149	157
205	2352	195	0	10	10
205	2341	191	1	13	14
206	2347	192	0	14	14
208	2057	30	4	174	178
208	362		199	0	9	9
209	2135	74	16	119	135
209	2350	195	0	14	14
209	332		189	7	13	20
210	2078	44	8	158	166
210	2364	199	0	11	11
210	2354	195	0	15	15
210	380		206	0	4	4
211	2349	192	0	19	19
212	326		187	9	16	25
212	376		206	0	6	6
213	2365	207	0	6	6
215	2368	207	0	8	8
215	358		197	6	12	18
215	371		204	0	11	11
216	343		192	21	3	24
216	386		213	0	3	3
217	2107	62	14	141	155
217	120		74	8	135	143
217	374		204	0	13	13
219	82		56	4	159	163
220	2084	46	7	167	174
221	2096	54	9	158	167
222	399		219	0	3	3
223	2098	54	11	158	169
227	2373	213	0	14	14
227	400		219	0	8	8
227	397		219	0	8	8
227	125		78	7	142	149
228	80		52	5	171	176
230	2048	23	4	203	207
231	2070	40	7	184	191
231	2085	48	7	176	183
233	416		231	0	2	2
234	110		72	8	154	162
234	156		90	14	130	144
236	424		234	0	2	2
237	2123	69	17	151	168
238	2103	56	13	169	182
240	2074	40	8	192	200
241	2133	72	16	153	169
245	2139	74	16	155	171
245	440		242	0	3	3
245	438		242	0	3	3
249	444		247	0	2	2
250	2370	213	0	37	37
252	2108	62	14	176	190
252	2383	217	2	33	35
253	2376	216	0	37	37
254	2112	63	14	177	191
254	2083	46	7	201	208
254	2411	245	2	7	9
254	441		247	0	7	7
254	136		83	11	160	171
255	2065	32	6	217	223
255	139		83	12	160	172
255	447		249	0	6	6
256	452		252	0	4	4
256	455		252	0	4	4
256	448		249	0	7	7
257	2119	65	15	177	192
258	2097	54	11	193	204
259	68		47	3	209	212
259	439		242	17	0	17
260	2380	217	0	43	43
260	456		257	0	3	3
261	104		69	8	184	192
261	457		257	0	4	4
262	2375	216	0	46	46
262	2406	235	12	15	27
264	2401	231	0	33	33
264	2422	247	0	17	17
264	462		259	0	5	5
265	2379	216	0	49	49
267	2386	221	0	46	46
267	93		63	6	198	204
267	466		263	0	4	4
267	470		263	0	4	4
268	2101	56	12	200	212
269	2121	69	17	183	200
269	2410	245	0	24	24
270	2408	235	0	35	35
270	2435	252	0	18	18
270	2436	252	0	18	18
271	472		267	0	4	4
272	2431	250	0	22	22
272	129		80	8	184	192
273	2405	235	0	38	38
273	2419	246	1	26	27
274	2387	221	0	53	53
274	2423	247	0	27	27
276	114		73	8	195	203
277	471		267	0	10	10
278	161		91	15	172	187
280	2143	76	15	189	204
284	133		82	9	193	202
286	2385	221	5	60	65
286	483		283	0	3	3
287	482		283	0	4	4
288	2424	247	14	27	41
