Td	ID	  	Tj	Df	Dd	Db
257	52		45	34	178	212
259	297		244	6	9	15
259	299		244	0	15	15
260	2323	247	0	13	13
260	2326	247	0	13	13
260	4076	176	18	66	84
260	4078	177	19	64	83
261	298		244	17	0	17
262	2328	247	0	15	15
262	245		204	45	13	58
263	4082	177	20	66	86
263	4083	177	20	66	86
263	59		57	10	196	206
263	286		239	4	20	24
264	2314	231	0	33	33
264	4091	200	16	48	64
268	2345	264	0	4	4
269	4097	200	18	51	69
270	2344	264	0	6	6
270	2333	260	1	9	10
270	2343	264	0	6	6
270	2315	243	0	27	27
271	2346	264	0	7	7
272	2324	247	0	25	25
273	2350	267	0	6	6
277	4098	204	17	56	73
279	2023	33	6	240	246
279	4101	204	18	57	75
280	4104	204	19	57	76
281	2321	243	0	38	38
281	4105	206	19	56	75
284	4106	206	19	59	78
284	4107	206	19	59	78
285	4109	206	20	59	79
286	4069	174	15	97	112
287	4087	192	17	78	95
288	4090	192	18	78	96
288	4112	212	20	56	76
289	4113	212	20	57	77
290	2359	281	0	9	9
290	12		9	1	280	281
290	66		60	9	221	230
291	2363	281	0	10	10
292	2362	281	0	11	11
293	2357	281	0	12	12
296	4074	176	17	103	120
296	4077	177	18	101	119
300	2365	287	0	13	13
301	2368	287	0	14	14
301	2360	281	0	20	20
302	2367	287	1	14	15
302	4151	243	22	37	59
303	2364	287	6	10	16
305	4153	243	23	39	62
305	4092	200	17	88	105
306	4154	244	23	39	62
308	2373	303	0	5	5
308	2377	303	0	5	5
311	4160	244	25	42	67
313	2386	307	0	6	6
313	2387	307	0	6	6
314	2382	306	0	8	8
314	2390	307	2	5	7
315	2391	307	0	8	8
316	4164	246	26	44	70
317	4121	219	27	71	98
318	4124	219	28	71	99
318	77		73	8	237	245
319	4099	204	17	98	115
319	4100	204	17	98	115
320	4102	204	18	98	116
320	4103	204	18	98	116
321	27		22	5	294	299
322	2393	316	0	6	6
324	4110	206	20	98	118
324	4111	206	20	98	118
324	4085	192	17	115	132
325	2397	316	0	9	9
327	4086	192	17	118	135
328	2411	324	0	4	4
328	4115	212	21	95	116
328	4126	234	21	73	94
329	4127	234	21	74	95
329	4128	234	21	74	95
330	4129	234	22	74	96
330	4130	234	22	74	96
330	412		326	0	4	4
331	2410	324	0	7	7
332	4118	212	23	97	120
332	396		319	0	13	13
333	4133	236	21	76	97
333	4135	236	22	75	97
334	2412	324	0	10	10
335	2415	328	0	7	7
337	2418	328	0	9	9
337	2402	320	0	17	17
340	4141	239	22	79	101
340	4142	239	22	79	101
340	56		45	11	284	295
341	4143	239	22	80	102
341	4144	239	23	79	102
342	4145	239	23	80	103
343	4176	264	35	44	79
353	4184	266	37	50	87
356	377		306	18	32	50
358	320		264	0	94	94
360	2430	352	0	8	8
360	4155	244	23	93	116
361	2011	16	3	342	345
362	2012	16	4	342	346
362	452		355	0	7	7
363	2435	354	1	8	9
364	4190	268	40	56	96
365	2446	358	0	7	7
365	443		352	0	13	13
366	4159	244	24	98	122
367	2447	358	0	9	9
369	2436	354	0	15	15
370	2440	354	1	15	16
372	4162	246	25	101	126
373	4167	246	27	100	127
373	4122	219	27	127	154
373	442		352	11	10	21
374	4125	219	28	127	155
374	4168	250	31	93	124
375	4171	250	32	93	125
376	4172	250	33	93	126
376	4173	250	33	93	126
377	2460	362	0	15	15
377	2463	363	0	14	14
378	4207	287	39	52	91
379	2470	366	0	13	13
379	4088	192	18	169	187
379	4089	192	18	169	187
379	432		349	16	14	30
380	4116	212	22	146	168
380	4117	212	22	146	168
381	4134	236	22	123	145
381	390		311	46	24	70
381	404		325	33	23	56
382	4211	295	40	47	87
382	378		306	50	26	76
383	4137	236	22	125	147
384	4139	236	23	125	148
386	2034	39	9	338	347
386	4177	264	35	87	122
386	4178	264	35	87	122
386	79		87	1	298	299
386	459		382	0	4	4
388	107		100	56	232	288
388	118		108	48	232	280
389	2036	40	9	340	349
390	2466	363	3	24	27
390	4181	264	36	90	126
390	4147	243	21	126	147
391	2467	363	1	27	28
391	4149	243	22	126	148
391	4150	243	22	126	148
391	165		143	14	234	248
392	2469	366	0	26	26
392	2471	366	0	26	26
392	4182	266	36	90	126
393	4224	304	50	39	89
394	4226	304	51	39	90
394	148		132	25	237	262
394	456		382	7	5	12
395	4228	304	52	39	91
395	4229	304	52	39	91
395	162		143	14	238	252
396	4186	266	38	92	130
396	4187	266	38	92	130
396	4188	266	39	91	130
396	366		304	80	12	92
396	457		382	4	10	14
397	2482	377	1	19	20
398	4234	306	53	39	92
399	2479	377	1	21	22
399	4189	268	39	92	131
400	429		349	24	27	51
401	2501	389	0	12	12
401	4242	308	55	38	93
402	2016	23	5	374	379
402	2486	381	3	18	21
402	4243	308	55	39	94
403	4191	268	40	95	135
404	4194	268	41	95	136
404	4195	268	41	95	136
404	4157	244	24	136	160
404	73		73	8	323	331
405	4245	311	56	38	94
405	425		345	55	5	60
406	2498	389	0	17	17
407	2507	398	0	9	9
408	2502	389	0	19	19
410	2020	23	6	381	387
410	4161	246	24	140	164
411	2504	398	0	13	13
412	4199	271	42	99	141
413	4202	271	43	99	142
413	4163	246	25	142	167
414	4166	246	27	141	168
414	4123	219	27	168	195
414	4169	250	31	133	164
414	474		410	0	4	4
415	4170	250	32	133	165
415	4174	250	33	132	165
415	4108	206	19	190	209
416	4203	287	38	91	129
416	426		345	51	20	71
419	4114	212	21	186	207
419	4132	234	22	163	185
420	4136	236	22	162	184
422	2493	387	0	35	35
422	4138	236	23	163	186
422	391		311	0	111	111
423	2516	412	0	11	11
423	4140	239	22	162	184
423	4146	239	23	161	184
423	475		410	0	13	13
424	4218	300	46	78	124
424	4219	300	46	78	124
424	410		326	4	94	98
425	2523	413	0	12	12
425	2520	413	0	12	12
425	4221	300	48	77	125
426	2522	413	0	13	13
426	2514	412	0	14	14
426	4223	300	49	77	126
427	2518	413	1	13	14
427	4152	243	22	162	184
428	4185	266	37	125	162
429	4227	304	51	74	125
429	4230	304	52	73	125
429	4232	306	52	71	123
429	31		24	371	34	405
430	2427	352	0	78	78
430	4235	306	53	71	124
431	2483	381	0	50	50
432	2028	39	8	385	393
432	2531	424	0	8	8
433	4193	268	41	124	165
433	386		311	113	9	122
434	4158	244	24	166	190
434	4246	311	56	67	123
434	4247	311	57	66	123
434	477		422	0	12	12
435	4119	219	26	190	216
436	4120	219	26	191	217
436	75		73	323	40	363
436	279		236	160	40	200
437	4198	271	42	124	166
437	4201	271	43	123	166
438	4204	287	38	113	151
438	4205	287	38	113	151
438	4206	287	38	113	151
439	4208	287	39	113	152
440	2461	362	0	78	78
440	2485	381	0	59	59
440	4210	295	39	106	145
440	4212	295	40	105	145
441	2545	429	0	12	12
441	4215	295	41	105	146
442	2535	428	0	14	14
442	2544	429	0	13	13
442	4217	300	45	97	142
442	4220	300	47	95	142
442	4222	300	48	94	142
443	4148	243	21	179	200
444	2539	429	1	14	15
444	2426	349	0	95	95
444	4183	266	37	141	178
444	4225	304	50	90	140
444	4231	306	52	86	138
445	4233	306	52	87	139
445	4237	306	54	85	139
446	4156	244	23	179	202
446	4238	308	53	85	138
447	2541	429	1	17	18
447	4241	308	55	84	139
447	4244	308	55	84	139
448	2552	442	0	6	6
448	4192	268	40	140	180
449	4249	311	57	81	138
449	4250	311	57	81	138
449	4196	271	41	137	178
450	4197	271	41	138	179
450	4200	271	43	136	179
450	4165	246	26	178	204
451	4131	234	22	195	217
452	4213	295	40	117	157
452	4214	295	41	116	157
452	521		446	0	6	6
453	2547	442	1	10	11
453	4216	295	42	116	158
453	4179	264	36	153	189
454	2559	446	0	8	8
454	2565	447	0	7	7
454	4180	264	36	154	190
454	4236	306	53	95	148
454	4239	308	54	92	146
455	4240	308	54	93	147
455	4209	287	39	129	168
455	4175	264	34	157	191
456	2553	446	0	10	10
456	4248	311	57	88	145
457	496		439	0	18	18
458	30		24	7	427	434
459	2024	33	7	419	426
459	2566	447	0	12	12
459	2564	447	0	12	12
460	2573	450	2	8	10
463	2560	447	2	14	16
463	527		454	0	9	9
464	2555	446	9	9	18
467	83		87	9	371	380
467	84		87	9	371	380
468	2587	460	0	8	8
468	510		443	15	10	25
470	2578	459	0	11	11
470	534		460	0	10	10
470	519		446	6	18	24
476	511		443	18	15	33
476	503		440	20	16	36
476	508		443	0	33	33
476	517		445	0	31	31
478	2593	465	0	13	13
480	42		33	7	440	447
481	2601	471	0	10	10
481	532		454	27	0	27
481	111		100	14	367	381
482	2606	473	0	9	9
484	2600	471	0	13	13
484	2622	475	2	7	9
484	2609	474	0	10	10
484	555		478	0	6	6
486	2629	476	0	10	10
488	2595	471	0	17	17
488	487		438	0	50	50
490	2628	476	0	14	14
490	26		22	5	463	468
492	2635	483	0	9	9
492	564		487	0	5	5
494	2605	473	1	20	21
494	556		478	0	16	16
495	547		477	0	18	18
496	2637	490	0	6	6
496	15		19	3	474	477
497	2636	483	0	14	14
498	2647	491	0	7	7
504	2646	491	0	13	13
504	17		19	4	481	485
505	2645	491	3	11	14
505	570		489	0	16	16
507	2655	493	0	14	14
507	2615	474	0	33	33
508	2649	491	0	17	17
508	583		496	0	12	12
510	2651	493	0	17	17
510	567		487	0	23	23
512	2658	500	0	12	12
514	2642	490	0	24	24
514	589		501	0	13	13
515	538		460	17	38	55
515	605		509	0	6	6
520	574		489	0	31	31
521	2589	465	0	56	56
522	2672	513	0	9	9
522	2618	475	0	47	47
522	2590	465	0	57	57
525	588		496	11	18	29
526	2669	512	0	14	14
526	2675	513	0	13	13
527	2585	460	0	67	67
527	581		494	0	33	33
528	491		439	0	89	89
532	37		33	6	493	499
534	2686	528	0	6	6
534	629		523	0	11	11
535	2679	527	0	8	8
535	388		311	111	113	224
535	634		531	0	4	4
536	2688	528	0	8	8
538	2705	533	0	5	5
540	2694	532	0	8	8
542	2710	534	0	8	8
543	633		531	0	12	12
544	2718	538	0	6	6
549	642		537	0	12	12
549	72		73	8	468	476
550	2051	63	12	475	487
550	2697	532	0	18	18
551	648		541	0	10	10
553	661		543	0	10	10
555	2729	543	0	12	12
555	659		543	0	12	12
556	647		541	0	15	15
559	2753	550	0	9	9
560	646		541	13	6	19
561	2758	553	0	8	8
562	2752	550	1	11	12
563	2761	553	0	10	10
564	692		557	0	7	7
567	2765	555	0	12	12
568	2772	558	0	10	10
568	2744	549	0	19	19
568	2770	558	2	8	10
571	2756	553	0	18	18
572	2749	550	0	22	22
576	2745	549	0	27	27
578	2713	534	0	44	44
582	2735	548	0	34	34
583	2788	579	0	4	4
583	694		568	0	15	15
585	2022	33	6	546	552
586	2784	579	0	7	7
587	2714	538	0	49	49
587	2733	543	0	44	44
588	2785	579	0	9	9
588	2558	446	0	142	142
588	2554	446	0	142	142
592	2061	66	14	512	526
593	703		575	0	18	18
595	741		587	0	8	8
597	737		587	4	6	10
597	718		578	0	19	19
598	713		576	7	15	22
600	702		575	0	25	25
603	728		584	9	10	19
603	641		537	16	50	66
603	732		585	0	18	18
606	2797	591	0	15	15
607	2811	594	0	13	13
607	667		547	6	54	60
608	748		600	0	8	8
609	2795	591	0	18	18
609	120		110	14	485	499
611	2042	42	12	557	569
612	2805	594	0	18	18
612	705		575	25	12	37
612	714		576	0	36	36
613	544		474	42	97	139
614	568		489	27	98	125
615	69		60	10	545	555
615	704		575	0	40	40
616	757		611	0	5	5
618	701		575	38	5	43
619	381		308	228	83	311
620	2815	601	0	19	19
620	2807	594	0	26	26
628	2825	608	1	19	20
628	2816	601	1	26	27
628	2843	616	0	12	12
628	2847	619	0	9	9
630	2153	112	31	487	518
