Td	ID	  	Tj	Df	Dd	Db
627	238		220	280	127	407
628	611		624	0	4	4
631	610		620	0	11	11
633	2487	477	2	154	156
634	2397	406	5	223	228
635	2611	603	0	32	32
638	623		633	0	5	5
643	2581	572	0	71	71
645	2625	620	0	25	25
647	2439	451	3	193	196
648	2495	481	9	158	167
648	2446	454	0	194	194
649	483		483	19	147	166
655	2038	37	4	614	618
656	625		633	0	23	23
658	479		474	28	156	184
659	422		415	87	157	244
661	651		653	0	8	8
662	637		645	0	17	17
664	649		652	0	12	12
666	567		580	8	78	86
668	639		645	0	23	23
670	96		89	16	565	581
674	100		89	17	568	585
675	627		640	0	35	35
676	638		645	5	26	31
678	612		624	2	52	54
678	650		652	3	23	26
679	618		632	0	47	47
680	598		609	0	71	71
683	607		620	11	52	63
684	2506	498	16	170	186
684	574		595	0	89	89
686	529		543	0	143	143
689	399		388	0	301	301
691	403		391	110	190	300
692	2475	465	12	215	227
693	388		375	0	318	318
695	2685	674	0	21	21
705	2425	442	7	256	263
706	693		701	0	5	5
712	715		709	0	3	3
713	2556	549	26	138	164
719	720		715	0	4	4
721	677		696	0	25	25
722	2447	454	3	265	268
722	705		704	0	18	18
725	2519	506	4	215	219
726	2570	557	2	167	169
730	722		723	0	7	7
735	718		715	5	15	20
736	2507	498	2	236	238
736	721		723	0	13	13
739	2729	708	0	31	31
740	2714	697	0	43	43
742	742		737	0	5	5
750	2482	467	13	270	283
750	686		698	0	52	52
753	4022	46	5	702	707
754	4040	52	11	691	702
755	745		737	1	17	18
755	760		752	0	3	3
757	4042	52	11	694	705
758	2503	486	3	269	272
758	710		705	31	22	53
762	4010	33	1	728	729
764	2746	743	0	21	21
765	2749	743	0	22	22
765	2731	716	0	49	49
765	4063	66	18	681	699
767	4025	47	6	714	720
767	755		749	0	18	18
768	765		756	0	12	12
769	4046	55	12	702	714
770	750		743	0	27	27
771	712		709	4	58	62
772	690		698	0	74	74
774	761		756	0	18	18
776	672		692	0	84	84
779	2521	527	2	250	252
784	4093	91	31	662	693
784	777		774	0	10	10
791	2598	586	4	201	205
791	2531	533	11	247	258
791	2774	768	0	23	23
795	786		787	0	8	8
796	2553	546	2	248	250
796	2766	766	0	30	30
797	791		788	0	9	9
802	2524	527	0	275	275
804	2033	33	4	767	771
807	788		787	0	20	20
809	2573	557	0	252	252
809	2779	790	0	19	19
816	804		802	0	14	14
821	67		64	9	748	757
821	809		803	0	18	18
823	680		696	0	127	127
825	811		805	0	20	20
825	69		64	9	752	761
825	784		775	0	50	50
828	396		388	301	139	440
832	807		803	0	29	29
834	2624	617	28	189	217
837	4056	64	17	756	773
839	2645	648	4	187	191
840	821		821	0	19	19
841	2500	486	4	351	355
846	2681	671	8	167	175
846	840		837	0	9	9
849	2819	818	0	31	31
850	837		837	5	8	13
851	828		832	0	19	19
851	846		846	0	5	5
857	847		846	0	11	11
857	384		374	0	483	483
857	380		372	0	485	485
858	462		453	227	178	405
860	400		388	291	181	472
861	418		412	268	181	449
862	852		858	0	4	4
863	375		369	0	494	494
864	393		386	293	185	478
868	2523	527	10	331	341
869	2543	543	26	300	326
869	2525	532	1	336	337
873	2833	842	0	31	31
876	476		474	206	196	402
877	356		353	326	198	524
879	878		873	0	6	6
880	881		877	0	3	3
882	877		873	0	9	9
885	2678	664	28	193	221
885	4015	37	2	846	848
886	757		752	15	119	134
886	872		872	0	14	14
890	4132	134	44	712	756
891	800		792	3	96	99
891	869		870	0	21	21
892	868		870	0	22	22
894	4100	103	32	759	791
894	861		866	0	28	28
895	2850	856	0	39	39
895	691		701	63	131	194
895	862		866	0	29	29
896	4020	46	4	846	850
897	4170	184	59	654	713
897	480		474	207	216	423
899	302		293	386	220	606
901	436		429	251	221	472
902	2876	877	0	25	25
903	896		896	0	7	7
905	904		898	0	7	7
906	360		353	0	553	553
906	370		368	0	538	538
908	51		52	9	847	856
908	52		52	9	847	856
909	143		134	201	574	775
911	892		892	0	19	19
912	2607	596	5	311	316
912	354		345	0	567	567
913	2619	609	0	304	304
913	68		64	0	849	849
914	72		66	48	800	848
918	64		62	0	856	856
920	4062	66	18	836	854
922	2896	903	0	19	19
923	2899	903	0	20	20
924	2815	818	0	106	106
926	4049	55	13	858	871
927	2870	871	0	56	56
928	2788	799	0	129	129
929	2722	705	0	224	224
934	2710	697	0	237	237
935	2650	654	0	281	281
938	2909	927	0	11	11
939	2696	682	0	257	257
940	2675	664	38	238	276
940	4031	48	8	884	892
941	2754	745	0	196	196
944	963		934	10	0	10
944	961		934	0	10	10
945	938		926	0	19	19
947	2628	620	20	307	327
947	4151	167	52	728	780
947	921		919	0	28	28
947	946		928	0	19	19
949	2518	506	1	442	443
949	910		905	0	44	44
949	950		928	0	21	21
954	948		928	20	6	26
955	2586	578	5	372	377
956	973		944	4	8	12
956	534		545	136	275	411
957	205		200	478	279	757
957	825		821	20	116	136
959	66		64	8	887	895
959	985		954	0	5	5
960	2534	533	2	425	427
960	2680	671	1	288	289
963	4098	99	31	833	864
964	4017	37	3	924	927
965	988		961	0	4	4
972	2636	636	2	334	336
972	4084	76	26	870	896
972	4007	32	0	940	940
973	703		704	62	207	269
974	4052	62	15	897	912
976	996		971	0	5	5
977	982		954	0	23	23
978	770		757	11	210	221
979	2544	543	17	419	436
984	981		954	24	6	30
984	959		933	0	51	51
987	936		926	0	61	61
989	2709	691	44	254	298
990	934		922	0	68	68
991	897		896	4	91	95
991	46		49	0	942	942
994	4060	66	18	910	928
995	939		926	31	38	69
996	987		961	2	33	35
996	44		48	0	948	948
1003	36		47	0	956	956
1004	4200	209	68	727	795
1006	2777	790	3	213	216
1008	2964	977	0	31	31
1008	32		46	0	962	962
1009	25		33	0	976	976
1012	4213	213	72	727	799
1013	4008	32	1	980	981
1014	2989	997	0	17	17
1014	22		33	977	4	981
1017	2016	28	3	986	989
1019	4072	72	22	925	947
1022	19		32	0	990	990
1027	2998	1008	0	19	19
1028	942		927	101	0	101
1032	4166	171	58	803	861
1033	2984	992	0	41	41
1033	4169	171	60	802	862
1036	2941	958	0	78	78
1036	18		32	990	14	1004
1037	2621	617	16	404	420
1037	4039	49	10	978	988
1041	15		26	0	1015	1015
1043	2973	985	0	58	58
1046	130		118	21	907	928
1047	12		26	2	1019	1021
1048	2638	636	10	402	412
1048	4173	184	60	804	864
1049	2718	701	21	327	348
1049	2948	960	0	89	89
1050	6		16	0	1034	1034
1051	2683	671	1	379	380
1051	4175	187	60	804	864
1052	2		7	3	1042	1045
1055	4182	188	62	805	867
1057	1		7	3	1047	1050
1058	4107	105	36	917	953
1060	4113	106	38	916	954
1061	4041	52	11	998	1009
1063	2930	956	0	107	107
1064	4043	52	12	1000	1012
1067	4194	200	65	802	867
1071	2924	946	0	125	125
1073	2778	790	2	281	283
1074	4029	47	8	1019	1027
1075	4086	89	28	958	986
1078	372		369	630	79	709
1079	4089	89	30	960	990
1082	4212	213	72	797	869
1084	4217	215	73	796	869
1085	2923	946	0	139	139
1088	856		865	137	86	223
1089	4224	217	76	796	872
1089	71		66	930	93	1023
1090	2669	657	0	433	433
1090	4006	32	0	1058	1058
1090	4120	127	39	924	963
1091	741		737	264	90	354
1095	2031	33	4	1058	1062
1095	4155	168	53	874	927
1098	401		391	608	99	707
1099	787		787	215	97	312
1099	139		130	867	102	969
1102	589		600	400	102	502
1103	4168	171	59	873	932
1103	4038	49	10	1044	1054
1103	4125	130	42	931	973
1106	4018	37	3	1066	1069
1106	4019	37	3	1066	1069
1110	428		418	582	110	692
1111	297		287	712	112	824
1115	173		169	829	117	946
1118	4137	140	46	932	978
1118	819		806	196	116	312
1118	113		103	894	121	1015
1119	2919	944	0	175	175
1119	814		805	314	0	314
1120	2747	743	8	369	377
1122	792		788	334	0	334
1124	4142	141	48	935	983
1127	2651	654	0	473	473
1128	4187	196	63	869	932
1128	4188	196	63	869	932
1129	2023	29	4	1096	1100
1129	2445	454	0	675	675
1129	425		415	585	129	714
1130	4059	64	18	1048	1066
